tx_time,date,total_amount,tx_count,whale_count,whale_usd
2025-07-19 00:00:00+00:00,2025-07-19,25650324.009356126,90,9,25650324.009356126
2025-07-20 00:00:00+00:00,2025-07-20,78830693.5864587,171,9,78830693.5864587
2025-07-21 00:00:00+00:00,2025-07-21,115030396.7675303,211,12,115030396.7675303
2025-07-22 00:00:00+00:00,2025-07-22,104685179.36542358,257,15,104685179.36542358
2025-07-23 00:00:00+00:00,2025-07-23,61807869.88375008,190,11,61807869.88375008
2025-07-24 00:00:00+00:00,2025-07-24,72946618.69857673,139,8,72946618.69857673
2025-07-25 00:00:00+00:00,2025-07-25,42385669.46659173,100,9,42385669.46659173
2025-07-26 00:00:00+00:00,2025-07-26,15482206.30989652,45,8,15482206.30989652
2025-07-27 00:00:00+00:00,2025-07-27,37380249.62674866,66,5,37380249.62674866
2025-07-28 00:00:00+00:00,2025-07-28,56783152.535317436,140,9,56783152.535317436
2025-07-29 00:00:00+00:00,2025-07-29,94356944.73972993,145,11,94356944.73972993
2025-07-30 00:00:00+00:00,2025-07-30,60008155.676908776,125,10,60008155.676908776
2025-07-31 00:00:00+00:00,2025-07-31,51264998.70709372,103,7,51264998.70709372
2025-08-01 00:00:00+00:00,2025-08-01,97698739.75892411,192,11,97698739.75892411
2025-08-02 00:00:00+00:00,2025-08-02,19583467.268329054,61,7,19583467.268329054
2025-08-03 00:00:00+00:00,2025-08-03,12825780.849642554,37,5,12825780.849642554
2025-08-04 00:00:00+00:00,2025-08-04,18012798.772627585,60,7,18012798.772627585
2025-08-05 00:00:00+00:00,2025-08-05,14352098.15302602,38,7,14352098.15302602
2025-08-06 00:00:00+00:00,2025-08-06,45996917.076867096,92,9,45996917.076867096
2025-08-07 00:00:00+00:00,2025-08-07,16486540.441163376,56,8,16486540.441163376
2025-08-08 00:00:00+00:00,2025-08-08,51489523.147071205,137,7,51489523.147071205
2025-08-09 00:00:00+00:00,2025-08-09,23913683.468472272,104,9,23913683.468472272
2025-08-10 00:00:00+00:00,2025-08-10,64101772.440365486,91,10,64101772.440365486
2025-08-11 00:00:00+00:00,2025-08-11,69901237.8969212,135,10,69901237.8969212
2025-08-12 00:00:00+00:00,2025-08-12,78340206.78544316,133,8,78340206.78544316
2025-08-13 00:00:00+00:00,2025-08-13,79308895.33679795,252,15,79308895.33679795
2025-08-14 00:00:00+00:00,2025-08-14,108735312.82568435,253,20,108735312.82568435
2025-08-15 00:00:00+00:00,2025-08-15,95852000.4289532,230,10,95852000.4289532
2025-08-16 00:00:00+00:00,2025-08-16,27442661.36242784,90,6,27442661.36242784
2025-08-17 00:00:00+00:00,2025-08-17,69014381.82301465,192,7,69014381.82301465
2025-08-18 00:00:00+00:00,2025-08-18,1605095.2866319101,7,4,1605095.2866319101
